doi,author_list,abstract_change,change_outcomes,preprint_main_total,paper_main_total,panel_change,ave_figs_preprint,ave_figs_paper,ave_figs_change,source_data,peer_review,comments_count,twitter,blogs,news,citations,impact,X1,source,posted_date,covid_preprint,title,n_versions,n_words,n_refs,n_figs,n_tables,license,type,category,authors,n_authors,author_corresponding,author_corresponding_institution,institution_match_score,institution_match_type,institution_match_name,institution_match_country_name,institution_match_country_code,published_doi.x,published_title,published_date,published_journal,published_publisher,delay_in_days,published_article_is_oa,published_article_oa_status,published_journal_is_oa
10.1101/2020.03.13.20035410,0,-1,0,4,4,0,4,4,0,0,0,0,13,0,0,0,4.603,63759,medrxiv,17/03/2020,TRUE,Wuhan and Hubei COVID-19 mortality analysis reveals the critical role of timely supply of medical resources,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,epidemiology,"Zhang, Z.; Yao, W.; Wang, Y.; Long, C.; FU, X.",5,XINMIAO FU,Fujian Normal University,1,PHRASE,Fujian Normal University,China,CN,10.1016/j.jinf.2020.03.018,Wuhan and Hubei COVID-19 mortality analysis reveals the critical role of timely supply of medical resources,21/03/2020,Journal of Infection,Elsevier BV,4,TRUE,bronze,FALSE
10.1101/2020.03.13.20035428,0,1,0,4,4,0,1,4,3,-1,0,0,11,0,1,0,4.603,63770,medrxiv,17/03/2020,TRUE,Serological immunochromatographic approach in diagnosis with SARS-CoV-2 infected COVID-19 patients,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,infectious diseases,"Pan, Y.; Li, X.; Yang, G.; Fan, J.; Tang, Y.; Zhao, J.; Long, X.; Guo, S.; Zhao, Z.; Liu, Y.; Hu, H.; Xue, H.; Li, Y.",13,Yirong Li,Zhongnan Hospital of Wuhan University,1,PHRASE,Zhongnan Hospital of Wuhan University,China,CN,10.1016/j.jinf.2020.03.051,Serological immunochromatographic approach in diagnosis with SARS-CoV-2 infected COVID-19 patients,11/04/2020,Journal of Infection,Elsevier BV,25,TRUE,bronze,FALSE
10.1101/2020.03.13.20035485,0,0,1,9,14,5,2.25,2.333333333,0.083333333,0,0,0,8,0,0,2,1.101,63758,medrxiv,17/03/2020,TRUE,Impact of the contact and exclusion rates on the spread of COVID-19 pandemic,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,epidemiology,"Kochanczyk, M.; Grabowski, F.; Lipniacki, T.",3,Tomasz Lipniacki,Institute of Fundamental Technological Research,1,PHRASE,Institute of Fundamental Technological Research,Poland,PL,10.1051/mmnp/2020011,Dynamics of COVID-19 pandemic at constant and time-dependent contact rates,07/04/2020,Mathematical Modelling of Natural Phenomena,EDP Sciences,21,TRUE,hybrid,FALSE
10.1101/2020.03.13.20035568,0,0,0,10,10,0,1,1.111111111,0.111111111,0,0,0,6,0,0,1,4.671,63748,medrxiv,17/03/2020,TRUE,Knowledge and perceptions of coronavirus disease 2019 among the general public in the United States and the United Kingdom: A cross-sectional online survey,2,NA,NA,NA,NA,cc_by,PUBLISHAHEADOFPRINT,infectious diseases,"Geldsetzer, P.",1,Pascal Geldsetzer,Stanford University,1,PHRASE,Stanford University,United States,US,10.2196/18790,Use of Rapid Online Surveys to Assess People's Perceptions During Infectious Disease Outbreaks: A Cross-sectional Survey on COVID-19,27/03/2020,Journal of Medical Internet Research,JMIR Publications Inc.,10,TRUE,gold,TRUE
10.1101/2020.03.13.991570,0,1,2,14,19,5,4.333333333,4.75,0.416666667,1,0,2,211,0,8,4,41.058,36876,biorxiv,14/03/2020,TRUE,A highly conserved cryptic epitope in the receptor-binding domains of SARS-CoV-2 and SARS-CoV,1,1747,37,3,1,cc_by,new results,microbiology,"Yuan, M.; Wu, N. C.; Zhu, X.; Lee, C.-C. D.; So, R. T. Y.; Lv, H.; Mok, C. K. P.; Wilson, I. A.",8,Ian A. Wilson,The Scripps Research Institute,1,PHRASE,Scripps Research Institute,United States,US,10.1126/science.abb7269,A highly conserved cryptic epitope in the receptor binding domains of SARS-CoV-2 and SARS-CoV,03/04/2020,Science,American Association for the Advancement of Science (AAAS),20,TRUE,hybrid,FALSE
10.1101/2020.03.14.20036202,1,1,2,9,10,1,1,1,0,0,0,0,34,0,0,0,5.449,63792,medrxiv,18/03/2020,TRUE,Propagation analysis and prediction of the COVID-19,1,NA,NA,NA,NA,cc_by,PUBLISHAHEADOFPRINT,infectious diseases,"Li, L.; Yang, Z.; Dang, Z.; Meng, C.; Huang, J.; Meng, H.; Wang, D.; Chen, G.; Zhang, J.; Peng, H.",10,HaiPeng Peng,Beijing University of Posts and Telecommunications,1,PHRASE,Beijing University of Posts and Telecommunications,China,CN,10.1016/j.idm.2020.03.002,Propagation analysis and prediction of the COVID-19,31/03/2020,Infectious Disease Modelling,Elsevier BV,13,TRUE,gold,TRUE
10.1101/2020.03.15.20032870,0,0,0,2,2,0,1,1,0,1,0,0,55,0,1,1,1.988,63817,medrxiv,20/03/2020,TRUE,GENOMIC CHARACTERISATION AND PHYLOGENETIC ANALYSIS OF SARS-COV-2 IN ITALY,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,epidemiology,"Zehender, G.; Lai, A.; Bergna, A.; Meroni, L.; Riva, A.; Balotta, C.; Tarkowski, M.; Gabrieli, A.; Bernacchia, D.; Rusconi, S.; Rizzardini, G.; Antinori, S.; Galli, M.",13,Gianguglielmo Zehender,University of Milan,1,PHRASE,University of Milan,Italy,IT,10.1002/jmv.25794,Genomic characterization and phylogenetic analysis of SARS-COV-2 in Italy,29/03/2020,Journal of Medical Virology,Wiley,9,TRUE,bronze,FALSE
10.1101/2020.03.15.20035204,2,-1,3,3,1,-2,3,1,-2,NA,0,2,43,1,1,2,4.368,63771,medrxiv,17/03/2020,TRUE,International expansion of a novel SARS-CoV-2 mutant,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,infectious diseases,"Wang, M.; Li, M.; Ren, R.; Brave, A.; Werf, S. v. d.; Chen, E.-Q.; Zong, Z.; Li, W.; Ying, B.",9,Binwu Ying,"Department of Laboratory Medicine, West China Hospital of Sichuan University, Chengdu, China",1,PHRASE,West China Hospital of Sichuan University,China,CN,10.1128/jvi.00567-20,International Expansion of a Novel SARS-CoV-2 Mutant,07/04/2020,Journal of Virology,American Society for Microbiology,21,TRUE,hybrid,FALSE
10.1101/2020.03.15.20036293,0,0,0,2,2,0,1,1,0,1,0,0,129,2,10,8,244.585,63789,medrxiv,18/03/2020,TRUE,Demographic science aids in understanding the spread and fatality rates of COVID-19,2,NA,NA,NA,NA,cc_by,PUBLISHAHEADOFPRINT,health policy,"Dowd, J. B.; Rotondi, V.; Adriano, L.; Brazel, D. M.; Block, P.; Ding, X.; Liu, Y.; Mills, M. C.",8,Melinda C Mills,University of Oxford,1,PHRASE,University of Oxford,United Kingdom,GB,10.1073/pnas.2004911117,Demographic science aids in understanding the spread and fatality rates of COVID-19,16/04/2020,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,29,TRUE,hybrid,FALSE
10.1101/2020.03.15.20036350,0,0,0,2,2,0,NA,NA,0,-1,0,0,25,0,0,1,NA,63807,medrxiv,18/03/2020,TRUE,"Coronavirus disease-19: Summary of 2,370 Contact Investigations of the First 30 Cases in the Republic of Korea",1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,infectious diseases,"Korea Centers for Disease Control and Prevention COVID-19 National Emergency Response Center,  ; Choe, Y. J.",2,Young June Choe,Hallym University College of Medicine,NA,NA,NA,NA,NA,10.24171/j.phrp.2020.11.2.04,"Coronavirus Disease-19: Summary of 2,370 Contact Investigations of the First 30 Cases in the Republic of Korea",01/04/2020,Osong Public Health and Research Perspectives,E-Tree Publishing,14,TRUE,gold,TRUE
10.1101/2020.03.15.20036368,0,0,0,7,7,0,1,1.75,0.75,-1,0,0,103,0,6,1,NA,63810,medrxiv,18/03/2020,TRUE,"Coronavirus disease-19: The First 7,755 Cases in the Republic of Korea",1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,infectious diseases,"COVID-19 National Emergency Response Center Korea Centers for Disease Control and Prevention,  ; Choe, Y. J.",2,Young June Choe,Hallym University College of Medicine,NA,NA,NA,NA,NA,10.24171/j.phrp.2020.11.2.05,"Coronavirus Disease-19: The First 7,755 Cases in the Republic of Korea",01/04/2020,Osong Public Health and Research Perspectives,E-Tree Publishing,14,TRUE,gold,TRUE
10.1101/2020.03.15.20036673,0,0,1,1,0,-1,NA,NA,0,0,0,2,3724,2,24,1,NA,63808,medrxiv,18/03/2020,TRUE,Stability of SARS-CoV-2 in different environmental conditions,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Chin, A.; Chu, J.; Perera, M.; Hui, K.; Yen, H.-L.; Chan, M.; Peiris, M.; Poon, L.",8,Leo Poon,The University of Hong Kong,1,PHRASE,University of Hong Kong,China,CN,10.1016/s2666-5247(20)30003-3,Stability of SARS-CoV-2 in different environmental conditions,02/04/2020,The Lancet Microbe,Elsevier BV,15,TRUE,gold,TRUE
10.1101/2020.03.15.20036707,0,0,2,3,4,1,1.5,2,0.5,1,0,0,1897,8,40,8,32.621,63803,medrxiv,18/03/2020,TRUE,Temporal dynamics in viral shedding and transmissibility of COVID-19,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"He, X.; Lau, E. H.; Wu, P.; Deng, X.; Wang, J.; Hao, X.; Lau, Y. C.; Wong, J. Y.; Guan, Y.; Tan, X.; Mo, X.; Chen, Y.; Liao, B.; Chen, W.; Hu, F.; Zhang, Q.; Zhong, M.; Wu, Y.; Zhao, L.; Zhang, F.; Cowling, B. J.; Li, F.; Leung, G. M.",23,Eric HY Lau,"World Health Organization Collaborating Centre for Infectious Disease Epidemiology and Control, School of Public Health, University of Hong Kong, Hong Kong SAR,",1,PHRASE,University of Hong Kong,China,CN,10.1038/s41591-020-0869-5,Temporal dynamics in viral shedding and transmissibility of COVID-19,15/04/2020,Nature Medicine,Springer Science and Business Media LLC,28,TRUE,bronze,FALSE
10.1101/2020.03.15.992818,0,0,0,3,3,0,2,3,1,0,0,0,20,0,0,6,NA,37082,biorxiv,17/03/2020,TRUE,An emergent clade of SARS-CoV-2 linked to returned travellers from Iran,1,1375,20,1,1,cc_by_nc,new results,microbiology,"Eden, J.-S.; Rockett, R.; Carter, I.; Rahman, H.; de Ligt, J.; Hadfield, J.; Storey, M.; Ren, X.; Tulloch, R.; Basile, K.; Wells, J.; Byun, R.; Gliroy, N.; O'Sullivan, M. V.; Sintchenko, V.; Chen, S. C.; Maddocks, S.; Sorrell, T. C.; Holmes, E. C.; Dwyer, D. E.; Kok, J.",21,John-Sebastian Eden,University of Sydney,1,PHRASE,University of Sydney,Australia,AU,10.1093/ve/veaa027,An emergent clade of SARS-CoV-2 linked to returned travellers from Iran,25/03/2020,Virus Evolution,Oxford University Press (OUP),8,TRUE,gold,TRUE
10.1101/2020.03.15.992925,0,0,1,13,6,-7,1.6,1.5,-0.1,0,0,0,21,0,0,1,5.583,37089,biorxiv,17/03/2020,TRUE,Master Regulator Analysis of the SARS-CoV-2/Human interactome,1,3618,81,5,0,cc_no,new results,bioinformatics,"Guzzi, P. H.; Mercatelli, D.; Ceraolo, C.; Giorgi, F. M.",4,Federico M Giorgi,"Department of Pharmacy and Biotechnology, University of Bologna, Italy",1,PHRASE,University of Bologna,Italy,IT,10.3390/jcm9040982,Master Regulator Analysis of the SARS-CoV-2/Human Interactome,02/04/2020,Journal of Clinical Medicine,MDPI AG,16,TRUE,gold,TRUE
10.1101/2020.03.16.20035014,0,0,0,5,5,0,1.5,2.5,1,0,0,0,10,0,1,0,4.054,63816,medrxiv,20/03/2020,TRUE,Evaluation of Nucleocapsid and Spike Protein-based ELISAs for detecting antibodies against SARS-CoV-2,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,allergy and immunology,"Liu, W.; Liu, L.; Kou, G.; Zheng, Y.; Ding, Y.; Ni, W.; Wang, Q.; Tan, L.; Wu, W.; Tang, S.; Xiong, Z.; Zheng, S.",12,Shangen Zheng,"General Hospital of Central Theater Command of PLA, Wuhan, Hubei, China",NA,NA,NA,NA,NA,10.1128/jcm.00461-20,Evaluation of Nucleocapsid and Spike Protein-Based Enzyme-Linked Immunosorbent Assays for Detecting Antibodies against SARS-CoV-2,31/03/2020,Journal of Clinical Microbiology,American Society for Microbiology,11,TRUE,bronze,FALSE
10.1101/2020.03.16.20037135,0,1,0,5,4,-1,1,4,3,0,0,13,1101,5,13,6,4.253,63885,medrxiv,20/03/2020,TRUE,Hydroxychloroquine and Azithromycin as a treatment of COVID-19: preliminary results of an open-label non-randomized clinical trial,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,infectious diseases,"GAUTRET, P.; LAGIER, J. C.; PAROLA, P.; HOANG, V. T.; MEDDED, L.; MAILHE, M.; DOUDIER, B.; COURJON, J.; GIORDANENGO, V.; ESTEVES VIEIRA, V.; TISSOT DUPONT, H.; HONORE, S.; COLSON, P.; CHABRIERE, E.; LA SCOLA, B.; ROLAIN, J. M.; BROUQUI, P.; RAOULT, D.",18,Didier RAOULT Sr.,"IHU Mediterrane Infection, Aix Marseille University",1,PHRASE,Aix-Marseille University,France,FR,10.1016/j.ijantimicag.2020.105949,Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial,20/03/2020,International Journal of Antimicrobial Agents,Elsevier BV,0,TRUE,green,FALSE
10.1101/2020.03.17.20037408,0,0,0,3,3,0,1,1.5,0.5,0,0,0,159,3,0,2,1.441,63845,medrxiv,20/03/2020,TRUE,How to improve adherence with quarantine: Rapid review of the evidence,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,public and global health,"Webster, R.; Brooks, S.; Smith, L.; Woodland, L.; Wessely, S.; Rubin, J.",6,Rebecca Webster,King\'s College London,NA,NA,NA,NA,NA,10.1016/j.puhe.2020.03.007,How to improve adherence with quarantine: rapid review of the evidence,30/03/2020,Public Health,Elsevier BV,10,TRUE,hybrid,FALSE
10.1101/2020.03.18.20037101,0,0,2,13,11,-2,2,2.2,0.2,0,0,0,18,0,1,0,5.186,63835,medrxiv,20/03/2020,TRUE,Epidemiology of seasonal coronaviruses: Establishing the context for COVID-19 emergence,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,epidemiology,"Nickbakhsh, S.; Ho, A.; Marques, D. F. P.; McMenamin, J.; Gunson, R. R.; Murcia, P.",6,Sema Nickbakhsh,MRC-University of Glasgow Centre for Virus Research,1,PHRASE,MRC-University of Glasgow Centre For Virus Research,United Kingdom,GB,10.1093/infdis/jiaa185,Epidemiology of Seasonal Coronaviruses: Establishing the Context for the Emergence of Coronavirus Disease 2019,14/04/2020,The Journal of Infectious Diseases,Oxford University Press (OUP),25,TRUE,hybrid,FALSE
10.1101/2020.03.18.20038059,0,0,2,29,35,6,6.5,7,0.5,-1,0,1,976,4,13,8,7.422,63902,medrxiv,20/03/2020,TRUE,SARS-CoV-2 specific antibody responses in COVID-19 patients,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,infectious diseases,"OKBA, N. M. A.; Muller, M. A.; Li, W.; Wang, C.; GeurtsvanKessel, C. H.; Corman, V. M.; Lamers, M. M.; Sikkema, R. S.; de Bruin, E.; Chandler, F. D.; Yazdanpanah, Y.; Le Hingrat, Q.; Descamps, D.; Houhou-Fidouh, N.; Reusken, C. B. E. M.; Bosch, B.-J.; Drosten, C.; Koopmans, M. P. G.; Haagmans, B. L.",19,NISREEN M.A. OKBA,Erasmus Medical Center,NA,NA,NA,NA,NA,10.3201/eid2607.200841,Severe Acute Respiratory Syndrome Coronavirus 2-Specific Antibody Responses in Coronavirus Disease Patients,08/04/2020,Emerging Infectious Diseases,Centers for Disease Control and Prevention (CDC),19,TRUE,gold,TRUE
10.1101/2020.03.18.20038455,0,1,2,5,4,-1,4,4,0,-1,0,1,149,0,2,0,12.242,63962,medrxiv,23/03/2020,TRUE,ACE-2 Expression in the Small Airway Epithelia of Smokers and COPD Patients: Implications for COVID-19,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,respiratory medicine,"Leung, J. M.; Yang, C. X.; Tam, A.; Shaipanich, T.; Hackett, T. L.; Singhera, G. K.; Dorscheid, D. R.; Sin, D. D.",8,Don D Sin,University of British Columbia (UBC) Centre for Heart Lung Innovation,NA,NA,NA,NA,NA,10.1183/13993003.00688-2020,ACE-2 expression in the small airway epithelia of smokers and COPD patients: implications for COVID-19,09/04/2020,European Respiratory Journal,European Respiratory Society (ERS),17,TRUE,hybrid,FALSE
10.1101/2020.03.19.20038844,1,1,3,5,4,-1,1.333333333,2,0.666666667,1,0,0,278,0,3,1,32.621,63886,medrxiv,20/03/2020,TRUE,A framework for identifying regional outbreak and spread of COVID-19 from one-minute population-wide surveys,2,NA,NA,NA,NA,cc_by_nc,PUBLISHAHEADOFPRINT,infectious diseases,"Rossman, H.; Keshet, A.; Shilo, S.; Gavrieli, A.; Bauman, T.; Cohen, O.; Balicer, R.; Geiger, B.; Dor, Y.; Segal, E.",10,Eran Segal,Weizmann Institute of Science,1,PHRASE,Weizmann Institute of Science,Israel,IL,10.1038/s41591-020-0857-9,"A framework for identifying regional outbreak and spread of COVID-19 from one-minute
      population-wide surveys",09/04/2020,Nature Medicine,Springer Science and Business Media LLC,20,TRUE,bronze,FALSE
10.1101/2020.03.19.20038950,0,1,2,9,9,0,1,3,2,-1,0,0,5,0,0,1,1.254,63976,medrxiv,23/03/2020,TRUE,A model for COVID-19 prediction in Iran based on China parameters,1,NA,NA,NA,NA,cc_by,PUBLISHAHEADOFPRINT,epidemiology,"Zareie, B.; Roshani, A.; Mansournia, M. A.; Rasouli, M. A.; Moradi, G.",5,Ghobad Moradi,Kurdistan University of Medical Sciences,1,PHRASE,Kurdistan University of Medical Sciences,Iran,IR,10.34172/aim.2020.05,A Model for COVID-19 Prediction in Iran Based on China Parameters,09/04/2020,Archives of Iranian Medicine,Maad Rayan Publishing Company,17,TRUE,hybrid,FALSE
10.1101/2020.03.19.998179,0,-1,0,1,1,0,1,1,0,0,0,3,44,0,0,0,5.394,37557,biorxiv,21/03/2020,TRUE,Molecular characterization of SARS-CoV-2 in the first COVID-19 cluster in France reveals an amino-acid deletion in nsp2 (Asp268Del),1,937,5,1,0,cc_by_nc_nd,new results,microbiology,"Bal, A.; Destras, G.; Gaymard, A.; Bouscambert-Duchamp, M.; Valette, M.; Escuret, V.; Frobert, E.; Billaud, G.; Trouillet-Assant, S.; Cheynet, V.; Brengel-Pesce, K.; Morfin, F.; Lina, B.; Josset, L.",14,Laurence Josset,Hospices Civils de Lyon,1,PHRASE,Hospices Civils de Lyon,France,FR,10.1016/j.cmi.2020.03.020,Molecular characterization of SARS-CoV-2 in the first COVID-19 cluster in France reveals an amino acid deletion in nsp2 (Asp268del),28/03/2020,Clinical Microbiology and Infection,Elsevier BV,7,TRUE,bronze,FALSE
10.1101/2020.03.21.001933,0,0,2,5,6,1,1,2,1,1,0,0,78,0,0,0,4.694,37593,biorxiv,23/03/2020,TRUE,"SARS-CoV-2, an evolutionary perspective of interaction with human ACE2 reveals undiscovered amino acids necessary for complex stability",1,4637,43,2,3,cc_by_nc_nd,new results,microbiology,"Armijos-Jaramillo, V.; Yeager, J.; Muslin, C.; Perez-Castillo, Y.",4,Vinicio Armijos-Jaramillo,Universidad de Las Americas-Quito,NA,NA,NA,NA,NA,10.1111/eva.12980,"SARS-CoV-2, an evolutionary perspective of interaction with human ACE2 reveals undiscovered amino acids necessary for complex stability",15/04/2020,Evolutionary Applications,Wiley,23,TRUE,gold,TRUE
10.1101/2020.03.22.20040600,0,0,2,5,6,1,1,1,0,-2,0,0,116,4,29,1,4.368,64044,medrxiv,26/03/2020,TRUE,Human leukocyte antigen susceptibility map for SARS-CoV-2,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Nguyen, A.; David, J. K.; Maden, S. K.; Wood, M. A.; Weeder, B. R.; Nellore, A.; Thompson, R. F.",7,Reid F Thompson,Oregon Health & Science University,NA,NA,NA,NA,NA,10.1128/jvi.00510-20,Human Leukocyte Antigen Susceptibility Map for Severe Acute Respiratory Syndrome Coronavirus 2,20/04/2020,Journal of Virology,American Society for Microbiology,25,TRUE,hybrid,FALSE
10.1101/2020.03.24.20041020,0,1,2,3,3,0,1,3,2,0,1,0,326,2,0,1,244.585,64111,medrxiv,27/03/2020,TRUE,Systematic review and critical appraisal of prediction models for diagnosis and prognosis of COVID-19 infection,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Wynants, L.; Van Calster, B.; Bonten, M. M.; Collins, G. S.; Debray, T. P.; De Vos, M.; Haller, M. C.; Heinze, G.; Moons, K. G.; Riley, R. D.; Schuit, E.; Smits, L.; Snell, K. I.; Steyerberg, E. W.; Wallisch, C.; van Smeden, M.",16,Laure Wynants,Maastricht University / KU Leuven,NA,NA,NA,NA,NA,10.1136/bmj.m1328,Prediction models for diagnosis and prognosis of covid-19: systematic review and critical appraisal,07/04/2020,BMJ,BMJ,11,TRUE,hybrid,FALSE
10.1101/2020.03.24.20042432,0,0,0,12,12,0,3.5,6,2.5,-1,0,0,4,0,0,0,1.729,64040,medrxiv,26/03/2020,TRUE,Early chest computed tomography to diagnose COVID-19 from suspected patients: A multicenter retrospective study,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,radiology and imaging,"Miao, C.; Jin, M.; Miao, L.; Yang, X.; Huang, P.; Xiong, H.; Huang, P.; Zhao, Q.; Du, J.; Hong, J.",10,Jiang Hong,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",1,PHRASE,NO.3 People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine,China,CN,10.1016/j.ajem.2020.04.051,Early chest computed tomography to diagnose COVID-19 from suspected patients: A multicenter retrospective study,19/04/2020,The American Journal of Emergency Medicine,Elsevier BV,24,TRUE,bronze,FALSE
10.1101/2020.03.24.20042598,0,0,0,1,1,0,1,1,0,0,0,0,3,0,0,0,9.117,64074,medrxiv,27/03/2020,TRUE,Disparities in Age-Specific Morbidity and Mortality from SARS-CoV-2 in China and the Republic of Korea,1,NA,NA,NA,NA,cc_by_nd,PUBLISHAHEADOFPRINT,epidemiology,"Dudley, J. P.; Lee, N. T.",2,Joseph P Dudley,Leidos Inc.,NA,NA,NA,NA,NA,10.1093/cid/ciaa354,Disparities in Age-specific Morbidity and Mortality From SARS-CoV-2 in China and the Republic of Korea,27/03/2020,Clinical Infectious Diseases,Oxford University Press (OUP),0,TRUE,bronze,FALSE
10.1101/2020.03.26.20044404,0,0,0,3,3,0,3,3,0,0,0,0,4,0,0,0,3.377,64221,medrxiv,30/03/2020,TRUE,Clear plastic drapes may be effective at limiting aerosolization and droplet spray during extubation: implications for COVID-19,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,anesthesia,"Matava, C.; Yu, J.; Denning, S.",3,Clyde Matava,Hospital for Sick Children,1,PHRASE,Hospital for Sick Children,Canada,CA,10.1007/s12630-020-01649-w,Clear plastic drapes may be effective at limiting aerosolization and droplet spray during extubation: implications for COVID-19,03/04/2020,Canadian Journal of Anesthesia/Journal canadien d'anesthésie,Springer Science and Business Media LLC,4,TRUE,bronze,FALSE
10.1101/2020.03.27.20043661,0,0,0,2,2,0,NA,NA,0,-1,0,0,13,0,0,0,NA,64211,medrxiv,30/03/2020,TRUE,Clinical characteristics associated with COVID-19 severity in California,1,NA,NA,NA,NA,cc_by_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Rubin, S. J. S.; Falkson, S. R.; Degner, N.; Blish, C.",4,Samuel J. S. Rubin,Stanford University School of Medicine,1,PHRASE,Stanford University School of Medicine,United States,US,10.1017/cts.2020.40,Clinical characteristics associated with COVID-19 severity in California,16/04/2020,Journal of Clinical and Translational Science,Cambridge University Press (CUP),17,TRUE,gold,TRUE
10.1101/2020.03.29.20043547,0,1,0,12,11,-1,1.375,2.2,0.825,0,0,0,6,0,0,0,4.671,64284,medrxiv,31/03/2020,TRUE,Health Communication Through News Media During the Early Stage of the COVID-19 Outbreak in China: A Digital Topic Modeling Approach,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,public and global health,"Liu, Q.; Zheng, Z.; Zheng, J.; Chen, Q.; Liu, G.; Chen, S.; Chu, B.; Zhu, H.; Akinwunmi, B.; Huang, J.; Zhang, C. J. P.; Ming, W.-k.",12,Wai-kit Ming,"Department of Public Health and Preventive Medicine, School of Medicine, Jinan University, Guangzhou, China",1,PHRASE,Jinan University,China,CN,10.2196/19118,Health Communication Through News Media During the Early Stage of the COVID-19 Outbreak in China: Digital Topic Modeling Approach,16/04/2020,Journal of Medical Internet Research,JMIR Publications Inc.,16,TRUE,gold,TRUE
10.1101/2020.03.30.20044099,0,0,2,10,11,1,2,2.2,0.2,-1,0,0,13,2,37,0,4.61,64250,medrxiv,30/03/2020,TRUE,COVID-19 transmission in Mainland China is associated with temperature and humidity: a time-series analysis,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,epidemiology,"Qi, H.; Xiao, S.; Shi, R.; P. Ward, M.; Chen, Y.; Tu, W.; Su, Q.; Wang, W.; Wang, X.; Zhang, Z.",10,Zhijie Zhang,Fudan University,1,PHRASE,Fudan University,China,CN,10.1016/j.scitotenv.2020.138778,COVID-19 transmission in Mainland China is associated with temperature and humidity: A time-series analysis,19/04/2020,Science of The Total Environment,Elsevier BV,20,TRUE,green,FALSE
10.1101/2020.03.30.20047852,0,0,0,5,0,-5,2.5,NA,-2.5,NA,0,0,46,0,0,0,3.557,64417,medrxiv,04/04/2020,TRUE,Epigenetic dysregulation of ACE2 and interferon-regulated genes might suggest increased COVID-19 susceptibility and severity in lupus patients,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,rheumatology,"Sawalha, A. H.; Zhao, M.; Coit, P.; Lu, Q.",4,Amr H Sawalha,University of Pittsburgh,1,PHRASE,University of Pittsburgh,United States,US,10.1016/j.clim.2020.108410,Epigenetic dysregulation of ACE2 and interferon-regulated genes might suggest increased COVID-19 susceptibility and severity in lupus patients,08/04/2020,Clinical Immunology,Elsevier BV,4,TRUE,green,FALSE
10.1101/2020.04.02.20051029,0,0,0,4,4,0,1,4,3,-1,0,4,75,0,0,0,NA,64525,medrxiv,06/04/2020,TRUE,Therapeutic Management of COVID-19 Patients: A systematic review,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Tobaiqy, M.; Qashqary, M.; Al-Dahery, S.; Mujallad, A.; Hershan, A. A.; Kamal, M. A.; Helmi, N.",7,Mansour Tobaiqy,"BSc, MSc Clin. Pharmacol, PhD, PgCert, Assistant Professor,  Department of Pharmacology,  College of Medicine, University of Jeddah, Jeddah, Kingdom of Saudi Ar",NA,NA,NA,NA,NA,10.1016/j.infpip.2020.100061,Therapeutic management of patients with COVID-19: a systematic review,17/04/2020,Infection Prevention in Practice,Elsevier BV,11,TRUE,gold,TRUE
